"Region","ApiKind","DomainName","DomainStatus","EndpointType","MappingCount","SinMapping","Mappings","RegionalDomainName"
"us-east-1","HTTP/v2","apicheck.apigatetest-clave.telered.com.pa",,"","1","False","(none) -> tj7tsww859/prod","d-iav53wjhui.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","apigate-iss-tkn-sand.apigatesb.telered.com.pa",,"","1","False","(none) -> s07ni4uac1/sandbox","d-61xmk96kik.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","apigate-iss-tkn-sand.telered.com.pa",,"","1","False","(none) -> s07ni4uac1/sandbox","d-sqvn30pyjl.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","apigate-tsp-tkn-sand.telered.com.pa",,"","0","True","","d-ddv0gfpi31.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","apigatesb.telered.com.pa",,"","1","False","(none) -> 4goqks7k0f/sandbox","d-mqiujrovv6.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","canal-validador-dummy.sand1.telered.com.pa",,"","1","False","(none) -> rprkg84d75/sandbox","d-srq1ywdhnl.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","canal-validador-dummy.sand3.telered.com.pa",,"","1","False","(none) -> rprkg84d75/sandbox","d-c1z7bh9jef.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","primary.apigatesb.telered.com.pa",,"","1","False","(none) -> 8w7ygw51vj/sandbox","d-laicq3usoa.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-achx.sand.telered.internal",,"","1","False","(none) -> r4qazjirmh/sandbox","d-8t58c6ernd.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-alias.sand.telered.internal",,"","1","False","(none) -> ig6072lrq2/sandbox","d-voj8derld6.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-cuenta-nombre.sand.telered.internal",,"","1","False","(none) -> ozm2269dil/sandbox","d-x9mw8rmg0l.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-interna-eclave.sand.telered.internal",,"","1","False","(none) -> b4hxgsl47k/sandbox","d-q3bhfmakvg.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-interna.sand.telered.internal",,"","1","False","(none) -> 2e6tcxnimb/sandbox","d-oyv2trk9i1.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-interna.sand.telered.internal.pci",,"","0","True","","d-oz5hbu6c6l.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-mph.sand.telered.internal",,"","1","False","(none) -> a01g28rhs9/sandbox","d-3xp2i3vgm5.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-p2m.sand.telered.internal",,"","1","False","(none) -> i8ol3apl8a/sandbox","d-anuhzcq9x7.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-puente.sand.telered.internal",,"","1","False","(none) -> x4989hzlcf/sandbox","d-9cgcciirh6.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-qrpayment.sand.telered.internal",,"","1","False","(none) -> wpxteqonlg/sandbox","d-vtlzfi2rfd.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-r2p.sand.telered.internal",,"","1","False","(none) -> z9a90yw6rk/sandbox","d-i3m0vezk65.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-api-validador.sand.telered.internal",,"","1","False","(none) -> mk6nq3dm1m/sandbox","d-pvz242talf.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-cifrado-api.sand.telered.internal.pci",,"","1","False","(none) -> jn4o7ymjt0/sandbox","d-rdc6and7e3.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-img.sand.telered.internal",,"","1","False","(none) -> 5ca3iqbi59/sandbox","d-ks7pqkj0b9.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-issuer-orquestador.sand.telered.internal.pci",,"","1","False","(none) -> 6nymgechd2/sandbox","d-xx47revtmj.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-notificacion.sand.telered.internal",,"","1","False","(none) -> 7gpqm6i9qi/sandbox","d-v29n2hqvpk.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-otp.sand.telered.internal",,"","1","False","(none) -> e0ll5jj8k6/sandbox","d-gj0m94tax5.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-preg-seguridad.sand.telered.internal",,"","1","False","(none) -> akfjrne9o9/sandbox","d-lmjcbaarrd.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-sv.sand.telered.internal",,"","1","False","(none) -> k4txamsz0g/sandbox","d-jvoi4b0yzl.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tld-validador-dummy.sand.telered.internal",,"","1","False","(none) -> rprkg84d75/sandbox","d-zoak892ic9.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","tsp-issuer.apigatetest-clave.telered.com.pa",,"","1","False","(none) -> pwxf2kdi80/sandbox","d-1ziq7jwgzb.execute-api.us-east-1.amazonaws.com"
"us-east-1","HTTP/v2","vcnach-tlrdpapa.test.telered.com.pa",,"","1","False","(none) -> rprkg84d75/sandbox","d-254aim7twg.execute-api.us-east-1.amazonaws.com"
